Book	Smell_Word	Smell_Source	Quality	Full_Sentence
abc1	duha	falmiakovga		ene kaple falmiakovga duha na jesik jfcapati .
abc1	duh	falmiaka|jele		Pod nof fe mu more duh od falmiaka ali jele - jioviga roga dershati , ali tudi ene ka ^ le notri kapati .
abc1	duha		falmiakoviga	Nebo v ' uftih , fe mu more s ' enim v ' olju pompzhenim perefam shegetati , jesik fefmu more vmivati inu ribati s ' vodo , s ' je - iiharn inu en mailo falmiakoviga duha fkupej smefhano .
abc1	duh		livi|omotlivi	' Strupene selifha imajo superni fmer $ - livi , omotlivi duh » inu mertvo , zhernika - jto ali vmešano fkrbo , po nevadno rafejo ! per mlakih inu raoroftih , ali faj na rao - zhernih inu fenzhnih krajih .
abc1	duh		soperni	) Omotlive ftrupčne shelifha fture she fkusi njih isfopenje omoclivoft inu orno - tize , njih duh je soperni , njih shmah palj fiahkobni .
abc1	duh		ojftri|soperni|omotlivi	* ) ' Tiile selifha , katire fo ojftre inu imotlive fkupej , imajo en ojftri , soperni » ro omotlivi duh , njih isfopenje pernefe liloveku omotize inu mu pozhutjk vsa - ' me .
abc1	gnilimu|duhu	gobe	ojftrimu	( ) Strupene gobe fe po navadno ' fpos - najo na njih gnilimu ipu ojftrimu duhu , na njih zhernikafti ali pifani farbi , inu na timu , de tako lahko gmjejo , per timu fo en malo maftne , de fe ' rade pod perftam smashejo inu njih rezel je votil ^ .
abc1	gnilimu|duhu	gobe	ojftrimu	( ) Strupene gobe fe po navadno ' fpos - najo na njih gnilimu ipu ojftrimu duhu , na njih zhernikafti ali pifani farbi , inu na timu , de tako lahko gmjejo , per timu fo en malo maftne , de fe ' rade pod perftam smashejo inu njih rezel je votil ^ .
abc1	duh	falmiakovi		) Kakor hitro je mogozhe , fe mu mo - e fapa notri vpihati , inu falmiakovi duh pod ofinunajesik pernefiti .
abc2	duh	resnice		Kakor hitro namreč so se leta stekle , v kte - r rili so naše Šembilje živele , kakor hitro je bilo leta končano , v kterimu je bilo prerokvanje spisano , ravno tako ročno je zbežal iz preroških spisov duh resnice , pred močnim duham laži in golufije , kteri še v današnjih časih v Šembiljskih marnjah kraljuje .
