id	year	author	title	tags	link
000001280	1802	CARTE, Samuel.	An Account of the many and great Loans, Benefactions and Charities, belonging to the City of Coventry ... A new edition. [The dedication signed: AB, CD, EF, GH, &amp;c. By Edward Jackson and Samuel Carte.]
000004976	1800	WHITE, Joseph	[Abdollatiphi Historiæ Ægypti compendium. [With a Latin version by Edward Pocock the younger.] Arab. &amp; Lat.]
000006036	1805	ELLISTON, Robert William.	Venetian Outlaw, a drama in three acts ... Translated [from the French translation of J. H. D. Zschokke's “Abällino, oder der grosse Bandit”] and adapted to the English stage by R. W. Elliston
000014280	1804	ADAMI, Leonardo	Ricerche intorno al sito preciso del Carcere Tulliano
000018173	1804	ADDISON, Joseph	[The Works of the late Right Honourable Joseph Addison, Esq. ... The third edition, etc. [Edited by Thomas Tickell.]]
000018173	1804	ADDISON, Joseph	[The Works of the late Right Honourable Joseph Addison, Esq. ... The third edition, etc. [Edited by Thomas Tickell.]]
000018173	1804	ADDISON, Joseph	[The Works of the late Right Honourable Joseph Addison, Esq. ... The third edition, etc. [Edited by Thomas Tickell.]]
000018173	1804	ADDISON, Joseph	[The Works of the late Right Honourable Joseph Addison, Esq. ... The third edition, etc. [Edited by Thomas Tickell.]]
000018173	1804	ADDISON, Joseph	[The Works of the late Right Honourable Joseph Addison, Esq. ... The third edition, etc. [Edited by Thomas Tickell.]]
000018173	1804	ADDISON, Joseph	[The Works of the late Right Honourable Joseph Addison, Esq. ... The third edition, etc. [Edited by Thomas Tickell.]]
000018469	1799	ADDISON, Joseph	Addisoni Epistola missa ex Italiâ ad illustrem Dominum Halifax, anno 1701. [A translation into Latin hexameter verse.] Auctore A. Murphy. (Addison's Letter to Lord Halifax.) Lat. &amp; Eng
000021092	1805	ADOLPHUS, John	History of England ... The second edition
000021092	1805	ADOLPHUS, John	History of England ... The second edition
000021092	1805	ADOLPHUS, John	History of England ... The second edition
000024896	1806	AFRICA	Gleanings in Africa; exhibiting a faithful and correct view of the manners and customs of the inhabitants of the Cape of Good Hope ... Interspersed with observations ... on the state of slavery ... In a series of letters from an English officer, etc. [With plates.]
000029328	1808	AGG, John.	Dawn of Liberty on the Continent of Europe; or, the Struggle of the Spanish Patriots for the emancipation of their country
000033858	1800	AIKIN, John	[England Delineated; or, a Geographical description of every county in England and Wales; with a concise account of its most important products, natural and artificial. For the use of young persons.]
000033859	1803	AIKIN, John	[England Delineated; or, a Geographical description of every county in England and Wales; with a concise account of its most important products, natural and artificial. For the use of young persons.]
000039670	1808	WARTON, Ferdinand Fullarton.	Albert and Rosalie, or the Fire King. A grand melodrama, in three acts. [By F. F. Warton. In verse.]
000043252	1799	ALCOCK, Mary	Poems, &amp;c. &amp;c. [Edited by Joanna Hughes.]
000048360	1800	ALEXANDER, James	Some Account of the first apparent Symptoms of the late Rebellion in the County of Kildare, and an adjoining part of the King's County; with a succinct narrative of some of the most remarkable passages in the rise and progress of the rebellion in the County of Wexford, especially in the vicinity of Ross, etc
000050543	1802	Alfred	Science Revived, or the Vision of Alfred. A poem in eight books
000052347	1808	ALISON, Archibald	[A Sermon preached ... the day after the funeral of Sir William Forbes, of Pitsligo, Baronet.]
000052859	1807	SAYERS, James.	All the Talents' Garland; or, a Few Rockets let off at a celebrated Ministry. [By James Sayers.] ... Second edition
000058180	1799	ALLINGHAM, John Till.	Fortune's Frolic: a farce, etc
000058201	1805	ALLINGHAM, John Till.	Weathercock: a farce, etc
000058202	1806	ALLINGHAM, John Till.	[The Weathercock: a farce, etc.]
000058800	1801	ALLNATT, Charles A.	Poverty: a poem. With several others, etc
000061456	1802	ALPEN, Heinrich Simon van.	Geschichte des fränkischen Rheinufers, was es war und was es itzt ist
000061456	1802	ALPEN, Heinrich Simon van.	Geschichte des fränkischen Rheinufers, was es war und was es itzt ist
000062518	1800	ALSOP, Richard.	A Poem; sacred to the memory of George Washington, late President of the United States, etc
000066142	1803	ROSE, William Stewart.	Amadis de Gaul: a poem in three books; freely translated from the first part of the French version of Nicolas de Heberay [sic], Sieur des Essars; with notes: by William Stewart Rose
000071032	1802	AMICUS	Reflections on the Fall and Redemption of Man in an exposition of Hebrews, chap. x. 4-7, compared with Psalm xl. 6-8 ... By Amicus. [In verse.]
000072876	1804	AMPHLETT, J.	Invasion; a descriptive &amp; satirical poem
000075847	1802	ANCELL, Samuel.	Journal of the Blockade and Siege of Gibraltar ... The fifth edition
000076173	1800	ANCILLON, Johann Peter Friedrich.	Mélanges de littérature et de philosophie
