Book	Smell_Word	Smell_Source	Quality	Full_Sentence
abc1	zeliša	rože		In še narmanjši rastljine , rože in zeliša .
abc1	dišeče	rože		Tu stojijo rože , ki le eno samo dišeče peresce imajo , tam vidimo druge , kterih cvet iz mnogih krasnih peres obstoji .
abc1	duh|dihlajo	travniki	prijetni	sesavk , žilic , mrciiic , prašnih nitik in drugih posod mora imeti ! Posljati ji tudi mora , o Vsigamogočni ! tvoje sonce svoje svetle žarke , iti mora dež in rosa pasti , hliditi morajo viharji , ki tvojo voljo izpolnjujejo ( Psalm 14K ) , de mi travniki prijetni duh naprot dihlajo , in me spomladanske rožce razveseljujejo ! O pač mora posebna postava biti , de izpelja velikost , moč , podobo , li - šobo in neskončno različnost , ki jo v jezero in zopet jezero tih ljubih stvaric občudujemo , v vsaki od njih mora začetna moč prebivati , ki sok na se vleče , ga od korenine do verha po vsili delili raz - pelja , primerno razdeli , vedno mezi in krog po celi rastljiki goni .
abc1	duh|dihlajo	travniki	prijetni	sesavk , žilic , mrciiic , prašnih nitik in drugih posod mora imeti ! Posljati ji tudi mora , o Vsigamogočni ! tvoje sonce svoje svetle žarke , iti mora dež in rosa pasti , hliditi morajo viharji , ki tvojo voljo izpolnjujejo ( Psalm 14K ) , de mi travniki prijetni duh naprot dihlajo , in me spomladanske rožce razveseljujejo ! O pač mora posebna postava biti , de izpelja velikost , moč , podobo , li - šobo in neskončno različnost , ki jo v jezero in zopet jezero tih ljubih stvaric občudujemo , v vsaki od njih mora začetna moč prebivati , ki sok na se vleče , ga od korenine do verha po vsili delili raz - pelja , primerno razdeli , vedno mezi in krog po celi rastljiki goni .
abc1	dišave	žlahtne pervine	prijetne	Mnoge sesavuc posodvice se morajo na vsakim peresci brez preneha same odpirati in zapirati , de žlahtne pervine od borovih ločijo , in tako prijetne dišave dijejo .
abc1	dišave	žlahtne pervine	prijetne	Mnoge sesavuc posodvice se morajo na vsakim peresci brez preneha same odpirati in zapirati , de žlahtne pervine od borovih ločijo , in tako prijetne dišave dijejo .
abc1	dišave	rože		In kdo jc v stani popisati lepoto , razstavo , različnost farb , ki jo mnoge rože sc poveril svoje prečudne dišave imajo ! - V resnici , Salomon v vsej svoji krasoti se nc sme z nobeno lilijo na polji primerjati .
abc1	zaduhli	zrak	vžigljivi	še vžigljivi in zaduhli zrak , ki človeka in žival umori , se popravi , ko ga rast - Ijike tako predelajo .
abc1	zaduhli	zrak	vžigljivi	še vžigljivi in zaduhli zrak , ki človeka in žival umori , se popravi , ko ga rast - Ijike tako predelajo .
abc1	dišave	lilija	sladke	Storite cvet , ko lilija , dajajte sladke dišave , ozelenite se vse prijetno , prepevajte hvalnice , in poveličujte Gospoda v njegovih delih .
abc1	dišave	lilija	sladke	Storite cvet , ko lilija , dajajte sladke dišave , ozelenite se vse prijetno , prepevajte hvalnice , in poveličujte Gospoda v njegovih delih .
abc1	dišeče|dišala|duh	cimet|mazilo|mira	lepo	K a - k o r cimet in lepo dišeče mazilo si m dišala , kakor zbrana mira si m d a j a I a p r i j e t i n duh od sebe .
abc1	dišeče|dišala|duh	cimet|mazilo|mira	lepo	K a - k o r cimet in lepo dišeče mazilo si m dišala , kakor zbrana mira si m d a j a I a p r i j e t i n duh od sebe .
abc1	dišeči		Sladek	Sladek iu dišeči sad sim prinesla .
abc2	dišav	jedil	poln dragih	Stari modrijan piše : Jezik je nožnica , v kteri tiči umov meč , — je skrinja , v kteri se hrani blagoti - na , — sod , v kterem so sladke pijače , — je hram , poln dragih jedil in dišav .
abc2	dišav	jedil	poln dragih	Stari modrijan piše : Jezik je nožnica , v kteri tiči umov meč , — je skrinja , v kteri se hrani blagoti - na , — sod , v kterem so sladke pijače , — je hram , poln dragih jedil in dišav .
abc2	diši	Vertnica|cvetica	prijetno	Vertnica je prav lepa cvetica , in tudi prijetno diši ; raste po vertih , pa tudi drugod ; je bela , rudeča , pa tudi rumena .
abc2	diši	Vertnica|cvetica	prijetno	Vertnica je prav lepa cvetica , in tudi prijetno diši ; raste po vertih , pa tudi drugod ; je bela , rudeča , pa tudi rumena .
abc2	diši	Liliin cvetje	lepo	Liliin cvetje velik , čisto bel , in prav lepo diši .
abc2	diši	Liliin cvetje	lepo	Liliin cvetje velik , čisto bel , in prav lepo diši .
abc2	ne diši	Ta cvetica		Ta cvetica ne diši .
abc2	dišečo	sušcovo vijolico		Naj raje imamo malo dišečo sušcovo vijolico , ki ima čašico in venčič s peterimi listiki , in cvete tamno modro ali višnjevo .
abc2	diše	nageljne		— Klinč - ke ali nageljne imamo na vertu , pa tndi doma v piskrih , ker lepo cvetejo in diše .
abc2	diši	Rožmarin	lepo	— Rožmarin je vedno zelen in lepo diši .
abc2	diši	Rožmarin	lepo	— Rožmarin je vedno zelen in lepo diši .
abc2	dišeče	Sivka|višnjevo cvetje|olje		— Sivka ima suli - časte listike , višnjevo cvetje , ki je klasju podobno ; da dišeče olje , in se rabi za zdravila in oblačila .
abc2	diši	cvetje	belo|prijetno	— Smarnica ima golo steblo ; listiki vstajajo iz tal ; cvetje je belo in majhnim zvončkom podobno , ktero prav prijetno diši .
abc2	diši	cvetje	belo|prijetno	— Smarnica ima golo steblo ; listiki vstajajo iz tal ; cvetje je belo in majhnim zvončkom podobno , ktero prav prijetno diši .
abc3	dišeče		lepo|osatno	Sosed njegov ima tanko steblo , zalo , tankokožno , lepo dišeče , ozko in osatno ( špičasto ) perje , ki brez reclov na samem steblu sedi .
abc3	dišati	Lmečki tobak	ostri	Ta sam po sebi že bolj žlahen je za gospodo , kteri močnr \ jn ostri / Lmečki tobak noče prav dišati .
abc3	dišati	Lmečki tobak	ostri	Ta sam po sebi že bolj žlahen je za gospodo , kteri močnr \ jn ostri / Lmečki tobak noče prav dišati .
abc3	duha		močnega|milega	Hitro hitro se mora sušiti ; mnogo dela potrebuje , ako ima močnega pa vendar milega duha dobiti .
abc3	diši	asiatica )|listjem		asiatica ) , lep grm z rumenkastim listjem , ki pa malo po prsti diši .
abc3	duh	listje kentuškega tobaka	Posebno dober	Posebno dober duh ima tudi listje kentuškega tobaka , ki radi smodke v nje zavijajo .
abc3	duh	listje kentuškega tobaka	Posebno dober	Posebno dober duh ima tudi listje kentuškega tobaka , ki radi smodke v nje zavijajo .
