Book	Smell_Word	Smell_Source	Quality	Full_Sentence
abc2	diši	Pluto|nu		aprila pri službi božji tiho , kakor na veliki petek ! Sicer nij bilo to isti dan pervikrat ! I to se godi v Komnu , v središči celega Krasa , v čestitljevi farni cerkvi ! Znane so dobro ho - matije , katere se uže toliko časa v občini pletu , znano je tudi , da je oni tujec , o katerem veljajo pesnikove besede : „ Ti nam germiš , ti delaš dež in jasno """" v sramoto komenski občini , ki bi se lahko sama brez tacih „ privandranih “ elementov bolje vladala , — da je oni glasovih tujec početrnk vsega prepira i da ga še vedno neti , znano je dalje , da je občina tacemu možu podelila meščansko pravico , da ga je izvolila v občinsko zastopstvo , ker še precej po Pluto - nu diši , i ker kakor znano , posebno pri omahljivcih „ denar železna vrata prebije """" , to vse je znano ; a to nij znano , da je starešinstvo moža , kateri nij - ma kot tujec serca za domačo reč , — da ga je izvolilo — — cuj svet ! — v krajno šol .
abc3	diši	zrak		Če pa kače lazijo na dvoje ; če zrak diši po žveplenem paru in če je megla jako prozorna , — trde , da Dunajec močno zopet naraste in bruhne čez obrežje .
abc3	duha		plemenitega	V majbinili ustih so mu ^ štrlele samo dve ali tri škrbine , toda života je bil lahkega , postave častit - 94 Ijive in plemenitega duha .
abc4	duh		Prijetni	Prijetni duh , ki se je razlegal po izbi , probudi dekleta ; oči se ji žare , sirota je bila — lačna ! Dragi bralec ! ali si že kedaj v svojem življenji videl lačnega , prav lačnega , gladnega , izstradanega človeka ? Videl si ga , kaj ne da ? in podal si mu hrane ; in ko je tako prav hlastno in slastno povžival podano mu hrano , povej , nič se ne sramuj : ali nisi čutil tedaj naj - višega , najslajšega veselja , ki ga more čutiti človeško serce ? Ako nisi imel te sreče , milujemo te : ti ne veš , kaj je največe veselje na svetu ; ti ne umeš besed izveličarja , ki pravi : Lačen sem bil , in vi ste me sitili ! — Mati , ki doji dete na persih .
abc4	duh|duh		strašan|mertvaški	O groza ! duh strašan , mertvaški duh , Hlapi iz hrama božjega ; — gorje ! Človeških trupel polno je svetišče ! V oltar ooi še zdaj obračajo — Mertve oči ! — in roke proti tebi Devica , mati sveta , stezajo , Da bi branila ti jih , pomočnica ! — Dušice vzela k sebi si v nebo , Njih trupla tu leže zadušena ! — Do svete blažene podobe tvoje Ni plamen upal se in černi ' dim ; Surovega divjaka roka je Prebola persi , iztaknila ti Oči ! — — Nazaj ! zapusti groze kraj , človeku prestrašan je ta pogled ! Kaj živega , poglej ! se giblje tam Med mertvimi ? — Ob potu sklonjena Podoba ženska , sivih las , čepi , V naročji dete — mertvo ! ji leži ! O ! — dete brez oči ! — očesci mu Obe je vražja izteknila roka ! Na persi dete mertvo si pritiska , Ročice merzle z gorkim dihom mu Ogreva ; — zdaj v naročji ziblje ga ; - In zdaj — cvetice bere ob potoku , Cvetice modrobojne kot ok6 , — In glej ! cvetice vtika ljubčeku V globini dvč , kjer bile so oči , Da bi oči imelo spet , sirota ! — — Oj pridi , Turek sim , divjak , in glej Če iskra čuta v tebi še teli , V človeka spremeni te ta pogled ! — — Tako igra se starka , grozna igra ! Smehlja se , pogovarja se z otrokom ; čuj , kaj zblaznela starka govori ? Starka : Oj sladko dete moje , ljubček moj ! Dejali so , strašili me ljudje , Da izteknil je Turek ti oči ' — Gerdi ljudje ! zakaj me strašijo ? Vedo , kako te rada jaz imam , Golobček beli , sladki Milko moj ! In ti imaš me , staro mater , rad , Še matere , očeta ne tako .
abc4	dišeča	Z rož|vijolic		K dekli po vodi Kitica plava , Kita dišeča Z rož in vijolic .
abc5	duhä		strupenega	Pihljajoči vetrčki se ž njimi igrajo in ljubko pogovarjajo zibajoč in hladeč je s svojimi nežnimi sapicami ; a cvetice jemljó v svoje naročje pridne bučelice in na svoje roke pisane metuljčke — — nij li vse to jednako življenju otroka v naročji svoje ljubeče matere o času svete mladosti ? — A glej ! — tam sameva cvetica , ta je klavrna , kajti bolna je : črv jej gloje koreninice in srcé ter izpodkopava njeno stališče , neprijazni veter jej je bil vdihnil strupenega duhä , ostuden mrčes jo je ranil in njeno mlado življenje ukončaL In zdaj mré ter vidno gine , kakor bled otrok , ki nosi v srci kal smrti , ter čaka zadnje ure , ki ga osvobodi življenja in trpljenja - - prišel je rešitelj : slana jo je uničila — — in tovarišice hodijo ua njen grob žalovat in jokat kakor otroci , dokler jim solznega čela ne obriše blagodejni jutranji žarek .
abc5	duhajo	cvetico		Otroci so torej cvetice — a cvetice so otroci , in ker so to , hočem časoma otrokom kako cvetico podariti , da jo duhajo in si jo ogledujejo , ter poslušajo , kaj jim govori .
abc6	diši	vijolica|Kamila .		V svoji oblasti imaš tudi ženo , ki je sama zase skromna in najrajša kakor vijolica na skrivnem cvete in diši ! Kamila .
abc8	ne diši	zrak|jed|pijača	zoprn	Ljubi Peter , ni mi tukaj več prestati , zrak mi je tako zoprn , da ne morem dihati , ne diši mi ne jed ne pijača ; ali sem že bolan , ali bom gotovo kmalu .
