Book	Smell_Word	Smell_Source	Quality	Full_Sentence
abc1	dišečega	kadila	polne	je vidil v skrivnem razodenji , da so imeli svetniki božji zlate posode v rokah , ktere so bile polne dišečega kadila in pravi , da je bila to molitev svetnikov .
abc1	dišečega	kadila	polne	je vidil v skrivnem razodenji , da so imeli svetniki božji zlate posode v rokah , ktere so bile polne dišečega kadila in pravi , da je bila to molitev svetnikov .
abc1	dišeče	kadilo	lepo	V zlatih posodah nosijo svetniki pobožne molitve , kakor lepo dišeče kadilo pred sedež božji .
abc1	dišeče	kadilo	lepo	V zlatih posodah nosijo svetniki pobožne molitve , kakor lepo dišeče kadilo pred sedež božji .
abc1	dišavo	mira	čudaprijetno	Zdaj se imenuje balzam , kar pomeni čudaprijetno dišavo njenih čednost ; zdaj mira , kar pomeni sedmero žalost njenega Ijubeznjivega serca ; zdaj nesožgan goreč germ , kar pomeni nedotaknjenost mesa ; zdaj cipresa zavoljo visokosti njenega zasluženja ; zdaj palma , ktera pomeni zmago vsakoršnih skušnjav in težav ; zdaj oljka , ktera pomeni njeno dobrotljivosti in usmiljenost itd .
abc1	dišavo	mira	čudaprijetno	Zdaj se imenuje balzam , kar pomeni čudaprijetno dišavo njenih čednost ; zdaj mira , kar pomeni sedmero žalost njenega Ijubeznjivega serca ; zdaj nesožgan goreč germ , kar pomeni nedotaknjenost mesa ; zdaj cipresa zavoljo visokosti njenega zasluženja ; zdaj palma , ktera pomeni zmago vsakoršnih skušnjav in težav ; zdaj oljka , ktera pomeni njeno dobrotljivosti in usmiljenost itd .
abc1	Dišava|duh	cveteče rože	prijetni	Dišava njenih čednosti je v duhovnem pomenu sladkejša , kot prijetni duh cveteče rože v juterni rosi ; lepo se prelija rožna rudečina v solnčnem svitu , še lepši se prelija Marijna lepota v svitu nebeškega solnca in gnade božje .
abc1	Dišava|duh	cveteče rože	prijetni	Dišava njenih čednosti je v duhovnem pomenu sladkejša , kot prijetni duh cveteče rože v juterni rosi ; lepo se prelija rožna rudečina v solnčnem svitu , še lepši se prelija Marijna lepota v svitu nebeškega solnca in gnade božje .
abc1	duha		prijetnega	O ljuba roža devica Marija ! roža skrivnosti polna ! sprosi nam gnado , napiti se prijetnega duha tvojih preblagih čednost in se vneti za tvojo čast in posnemanje ! Razlaga .
abc1	duha		prijetnega	Juterna rosa , ktera daje mladi duši svit in lepoto , je ljuba sramožljivost in nedolžnost ; po nevarnem dotiku slabih zgledov , zapeljivih besed in hudih pregreh zgine sramožljivost in se umori nedolžnost in duša človeška je enaka roži , vedli in pomandrani , brez prijetnega duha , brez vse lepote - Oj ljuba mladina , da bi ti spoznala tvojo lepoto in vrednost svete sramožljivosti in nedolžnosti ! Sam Bog je dal otroškemu sercu sveto sramožljivost , naj bi bila njemu varhinja in čuvarica ondi , kamor ne seže skerbno materno ali očetovo oko .
abc1	duha	vijolica	prijetnega	Mladost brez sramožljivosti je kot vijolica brez prijetnega duha .
abc1	duha	vijolica	prijetnega	Mladost brez sramožljivosti je kot vijolica brez prijetnega duha .
abc1	smrad puhtel		hudi	Ker je iz njega hudi smrad puhtel , si je puš - čavnik z rutico nos zatisnil , Angel ga vpraša , zakaj da to stori ? Puščavnik mu odgovori : Da ne poginem od smradu , ki od tega merliča puhtf .
abc1	smradljivim|smrad|smrad|puhti	mesa|duše		Puščavnik ves zavzet angelja vpraša , kako da to pri mladenču stori , česar pred smradljivim truplom ni storil ? Na to uprašanje mu angel odgovori : „ Ker si meso , zatorej čutiš smrad mesa ; mi pa , ki smo duhovi , občutimo smrad duše , ki puhti iz greha ; ta mladeneč pa pred Bogom in njegovimi svetimi angeli zavoljo svoje razujzdanosti veliko bolj smerdi , kot gnjiloba vseh merličev , če je še tolika """" .
abc1	duha|smrad|smrad		prijetnega|strupeni	— Pomislite sedaj , če je človek brez čistosti , če je razujzdanec že angelom tako zopern , ostuden in nagnjusen , koliko osludniši in nagnjusniši je še le kraljici angelov — snežnobeli , skrivnostni roži — Mariji ? Ali slišiš leto razujzdani mladenč , razujzdana deklica ? Ali slišite leto možje in žene ? Vi per - stopate do Marije , vi jo želite počastiti , jo v duhovnih in telesnih potrebah pomoči prositi , ji za sprošene dobrote , za prijete gnade se zahvaliti ; vse to je pravično , spodobno in zveličansko ; ali da se po vaših molitvah ne bo namest prijetnega duha strupeni smrad do njenega visokega sedeža uzdi - goval , je treba , da gnjilobo nečistosti zapustite , in greha smrad s solzami pokore iz svoje duše zmijete Blagor pa vam vsem sedaj in vekomaj , ki ste oblačilce nedolžnosti ohranili , vam vsem , ki ste čistega serca .
abc1	dišavo		prijetno	Kako lepo je ta svetnica , kakor roža svetosti cvetela in s prijetno dišavo svojih čednost sv .
abc1	duhu		prijetnem	Marija pa je nar lepša , in nar žlahtnejša bela in rudeča roža duhovna ; torej se do nje , kraljice vseh nebeških cvetlic le bližajmo v beli obleki čistosti — v prijetnem duhu lepega zgleda — y s vitli rudečiči sv .
abc2	diši	slama		Možaki , možiceljui in možički , kterim diši slama časnikarskih žvekarij , osat zasrainovanja iu gobezdanja zoper Cerkev in vero , so enaki razsvitljencmu osliču * * ) .
abc2	zelišču	trave|cvetice		zvonček ' ' fGalaiithus uivulis ) , se pripoveduje tuka - le uježua govorica : Ko je bil Bog vse vstvaril , trave , zelišču in cvetice , iu jim dal lepe barve , ktere jih kinčujo , naredil je zadnjič tudi sneg iu mu reče : „ llaive si sum poišči , saj boš tako z barvo vred vse vničil .
abc3	duha	aaua		- ae aaua amo ne duha ae za šolstvo muka autr kakor oaiim kmetom za laoska po Sraierskena .
abc3	ne diši			• ne oškodoje , se mahoma posuši in ne diši .
abc3	duha		beli|zdravi|brez slabega	Električne krtačita ' za zobe , s kterimi se brez vsake paste in druzih zdravil ( samo s čisto vodo ) zobje osnažijo , da so beli , zdravi in brez slabega duha .
abc3	vonja	Uljrcerin	najfinajimi	Pravo prekvidno Uljrcerin - mjilo s najfinajimi vonja - \ ami , koR po 5 , 10 , 16 , 20 kr .
abc3	vonja	Uljrcerin	najfinajimi	Pravo prekvidno Uljrcerin - mjilo s najfinajimi vonja - \ ami , koR po 5 , 10 , 16 , 20 kr .
abc3	vonja	Mušni eter	prijetno	Mušni eter za izbe , kuhinje , sobe , prav prijetno vonja in prepodi v četri ure ie toliko muh .
abc3	vonja	Mušni eter	prijetno	Mušni eter za izbe , kuhinje , sobe , prav prijetno vonja in prepodi v četri ure ie toliko muh .
abc4	ne diši	jed	preveč	— Ptujca sta nekoliko zajemala , pa videlo se jima je koj , da jima jed ne diši preveč , ker komaj sta dobro načela kašo , ' .
abc4	ne diši	jed	preveč	— Ptujca sta nekoliko zajemala , pa videlo se jima je koj , da jima jed ne diši preveč , ker komaj sta dobro načela kašo , ' .
abc4	zaduhala		dobro	Zadnjič , ko ste v cerkvi pušico z denarjem ukradli , bili so koj drugo jutro trije — 131 — Žandarji tukaj , pa Špela , čeravno stara , je koj dobro zaduhala te radovedneže ; skrila je pušico v resje doli pod plazom in oni so morali oditi s prazno torbo .
abc4	dišali	tobaka		Modroslovci so to počenjali celo oktavo niže ; v žepih — razen močnega zvitega tobaka , nijso imeli ničesar drugega ; zaloge nijso nosili se seboj , kar so kde zalotili , to so berž použili ; dišali so po žganji in njih lule smerdele po nesnagi časi tako , da je rokodelec , ki je prišel mimo njih , vstavil se in dolgo časa zrak lovil z nosom , kakor kak lovski pes .
