Book	Smell_Word	Smell_Source	Quality	Full_Sentence
abc1	smrdele	po dimu		naj si prizadevajo ćešplje tako sušiti , da ne bojo smrdele po dimu .
abc1	duha	po dimu	iieprijetnega	Dragi moji , povem VTam , da letos je več tavžent centov naših suhih češpelj le zato tukaj v Ljubljani brez kupca ostalo , ker ne marajo za - nje zavolj iieprijetnega duha po dimu .
abc1	duha	po dimu	iieprijetnega	Dragi moji , povem VTam , da letos je več tavžent centov naših suhih češpelj le zato tukaj v Ljubljani brez kupca ostalo , ker ne marajo za - nje zavolj iieprijetnega duha po dimu .
abc1	ne diši	posušeno sadje|po dimu|sadje		Bodi Bogu milo ! da še zmiraj moramo reci : sreča nas išče , pa ne maramo za njo , ker smo pretrmasti , 4a bi popravili kar so naši stari očetje napak dělali ! Prezlo posušeno sadje je žilavo in se skuha rado mehko ; varovati je , da se pri sušenji ne sožgé in da po dimu ne diši ; tako sadje je malo obrajtano in se prodá le takim ljudém , ki ne vejo , kakosno mora suho sadje biti ! Saj ni nobena copernija sušivnice ( pastve ) tako napra - viti , da ima dim o dušek kam drugam , ne pa na cesplje .
abc1	dišal	Al hmelj	prijetniše	Al hmelj na latah je veliko bolji bil od onega na kolih ; ne le , da je veliko prijetniše dišal , imel je tudi več moknastega v sebi .
abc1	dišal	Al hmelj	prijetniše	Al hmelj na latah je veliko bolji bil od onega na kolih ; ne le , da je veliko prijetniše dišal , imel je tudi več moknastega v sebi .
abc1	zeliše		Strupeno	Strupeno to zeliše se na nekterih trav - nikih neizrečeno naglo zaredi , in dostikrat so najlepše senožeti s samim podleskom preprežene .
abc1	duhu	pižmovem		Razloči se špičmoh od miš posebno po dolgi ( špicasti ) in precej suhi glavi , dolgem in gibčnem smrčku in pa pižmovem duhu .
abc1	vou|vou|vou			Gospod Zagorski bil je škode zmiraj trdi , da je vou ! vou ! vou ! pes ostane .
abc2	ne diši	slehrna trava		Lej , posamezna bil : — navidezna jo , kakor sploh slehrna trava , ne diši , ne diči se z gizdavim cvetjem , niti peres ponosno ne više .
abc2	ne diši			Ta novi izdelek v svoj m učinku prekosi vse enake fabrikate , ker nobene barve no oikoduje , se mahoma posuši in ne diši .
abc2	duha		beli|zdravi|brez slabega	da so beli , zdravi in brez slabega duha .
abc2	vonjavami		najliiiejimi	I ' ravo prekvidno iihcerin - nijilo z najliiiejimi vonjavami , kos po 6 , 10 , 15 , 20 kr .
abc2	vonja		prijetno	Mnini 6ter za izbe , kuhinje , sobe , prav prijetno vonja in prepodi v četrt ure še toliko muh .
abc3	ne diši			Tu novi izdelek v svojem učinku prekosi vse enake labrikato , ker nobene barve no oškoduje , se mahoma posuši in ne diši .
abc3	duha		beli|zdravi|brez slabega	Električne krtačiceza zobe , s kterimi se brez vsake paste in druzih zdravil ( samo s čisto vodo ) zobje osnažijo , da so beli , zdravi in brez slabega duha .
abc3	vonjavami		najfinojimi	Pravo prekvidno Glvccrin - mjilo z najfinojimi vonjavami , kos po 5 , 10 , 15 , 20 kr .
abc3	vonja	Mušni eter	prijetno	Mušni eter za izbo , kuhinje , sobe , prav prijetno vonja in prepodi v četrt ure še toliko muh .
abc3	vonja	Mušni eter	prijetno	Mušni eter za izbo , kuhinje , sobe , prav prijetno vonja in prepodi v četrt ure še toliko muh .
abc4	dišeč	brina|les	prijetno	Ta brina ima prijetno dišeč les , v katerega vdeljujejo svinčnike .
abc4	dišeč	brina|les	prijetno	Ta brina ima prijetno dišeč les , v katerega vdeljujejo svinčnike .
abc4	diši	petje		Ce mati me kličejo k jedi , Bolj mika me eno zapet ; Ce lačna sedim tud ' pri skledi , Mi petje diši bolj kot jed .
abc5	dišav	dim	gost	Luč začne zopet goreti , ko prej , in mesto dišav , ziba se zopet gost leščerbin dim po tesni hišici .
abc5	dišav	dim	gost	Luč začne zopet goreti , ko prej , in mesto dišav , ziba se zopet gost leščerbin dim po tesni hišici .
abc5	duh	pečenega krompirja		Ko jo poše - gače duh pečenega krompirja , pravi , ne misle , kaj je izrekla , „ ko bi imela zraven krompirja še eno pečeno klobasico """" — in joj perva želja je izpolnjena .
abc5	duh	klobasica	cvetličen	Tako urno , kakor se posveti in zgine blisek , prišla je kakor zora in cvetličen duh skoz dimnik in obležala na krompirju najlepša klobasica .
abc5	duh	klobasica	cvetličen	Tako urno , kakor se posveti in zgine blisek , prišla je kakor zora in cvetličen duh skoz dimnik in obležala na krompirju najlepša klobasica .
abc5	ne diši	po rožnem cvetu|jutranji zori|brinovcu|teletini		Pa zasliši te tri želje : Sedaj ni pričujoča gorska Vila , in tudi ne diši po rožnem cvetu in jutranji zori , ampak po brinovcu in teletini v kisli juhi .
abc5	duh		dober	Naenkrat seže v žep , zgrabi kamen , in že ga dvigne kviško hote ga vreči na svojega protivnika , pa kot bi ga posvaril kak dober duh , spusti ga na tla , in odide .
abc5	diši	pečenka|vino|masleni kruh		Govorili so še dalje , in kolikor bolj se jim je videlo , da verjame kerčmarica , toliko bolj jim diši pečenka , vino in masleni kruh , račun se pa zredi do 5 fl .
abc5	dišečega|duh	olja	dober	čiste studenčnice v neko posodico , ki derži okoli dva poliča , osladi jo s sladkorjem in primeša nekoliko dišečega olja , da je zadobila dober duh .
